Radius_[pixels],Normalized_Integrated_Intensity,X_Fit:_Gaussian,Fit:_Gaussian
1.335,118.9841,1.335,110.8631
2.670,120.6310,1.629,110.9603
4.005,124.7500,1.923,111.0570
5.339,120.8820,2.217,111.1533
6.674,111.0222,2.511,111.2491
8.009,119.7542,2.805,111.3445
9.344,128.3750,3.099,111.4394
10.679,121.5278,3.393,111.5339
12.014,115.0222,3.687,111.6279
13.348,123.3096,3.980,111.7215
14.683,118.0914,4.274,111.8145
16.018,120.8355,4.568,111.9072
17.353,122.0921,4.862,111.9993
18.688,120.7714,5.156,112.0910
20.023,120.0397,5.450,112.1822
21.357,123.6902,5.744,112.2730
22.692,116.6268,6.038,112.3632
24.027,117.6399,6.332,112.4530
25.362,112.9321,6.626,112.5424
26.697,117.5775,6.920,112.6312
28.032,115.9986,7.214,112.7196
29.367,114.6198,7.508,112.8075
30.701,115.4266,7.802,112.8950
32.036,118.5613,8.096,112.9819
33.371,118.8493,8.390,113.0684
34.706,118.6174,8.684,113.1544
36.041,116.0446,8.978,113.2399
37.376,114.0705,9.272,113.3249
38.710,115.4206,9.566,113.4094
40.045,117.0872,9.860,113.4934
41.380,116.9385,10.154,113.5770
42.715,113.0816,10.448,113.6600
44.050,113.1401,10.742,113.7426
45.385,117.0382,11.035,113.8247
46.719,115.2475,11.329,113.9062
48.054,111.9338,11.623,113.9873
49.389,113.3506,11.917,114.0679
50.724,115.1973,12.211,114.1480
52.059,114.0394,12.505,114.2275
53.394,116.3691,12.799,114.3066
54.729,117.0856,13.093,114.3852
56.063,116.7049,13.387,114.4633
57.398,113.4785,13.681,114.5408
58.733,113.8279,13.975,114.6179
60.068,115.1090,14.269,114.6944
61.403,113.2684,14.563,114.7705
62.738,114.8619,14.857,114.8460
64.072,114.3112,15.151,114.9210
65.407,112.9125,15.445,114.9955
66.742,112.0985,15.739,115.0695
68.077,112.8640,16.033,115.1430
69.412,112.0733,16.327,115.2160
70.747,109.4027,16.621,115.2884
72.081,112.6640,16.915,115.3603
73.416,113.7067,17.209,115.4317
74.751,113.1121,17.503,115.5026
76.086,111.9274,17.797,115.5730
77.421,112.0950,18.091,115.6428
78.756,110.6643,18.384,115.7121
80.090,111.0078,18.678,115.7809
81.425,110.7551,18.972,115.8491
82.760,112.7828,19.266,115.9169
84.095,110.9367,19.560,115.9841
85.430,111.4789,19.854,116.0507
86.765,110.9714,20.148,116.1169
88.100,111.0199,20.442,116.1825
89.434,110.8616,20.736,116.2476
90.769,110.0161,21.030,116.3121
92.104,111.0223,21.324,116.3761
93.439,108.7282,21.618,116.4396
94.774,110.3432,21.912,116.5025
96.109,109.1067,22.206,116.5649
97.443,110.0174,22.500,116.6267
98.778,109.3672,22.794,116.6881
100.113,108.2030,23.088,116.7488
101.448,108.9936,23.382,116.8091
102.783,109.8173,23.676,116.8687
104.118,110.3788,23.970,116.9279
105.452,110.3865,24.264,116.9865
106.787,110.6138,24.558,117.0445
108.122,111.0132,24.852,117.1020
109.457,111.6600,25.146,117.1590
110.792,112.5517,25.439,117.2154
112.127,113.5392,25.733,117.2712
113.462,113.4531,26.027,117.3265
114.796,112.5291,26.321,117.3813
116.131,112.7930,26.615,117.4355
117.466,112.9320,26.909,117.4891
118.801,111.8886,27.203,117.5422
120.136,113.0397,27.497,117.5947
121.471,112.2586,27.791,117.6467
122.805,113.6137,28.085,117.6981
124.140,111.1141,28.379,117.7490
125.475,110.0006,28.673,117.7993
126.810,110.9130,28.967,117.8490
128.145,110.8610,29.261,117.8982
129.480,111.7246,29.555,117.9468
130.814,111.3749,29.849,117.9949
132.149,112.6649,30.143,118.0423
133.484,112.6832,30.437,118.0893
134.819,112.4562,30.731,118.1356
136.154,111.3591,31.025,118.1814
137.489,111.2837,31.319,118.2267
138.824,110.7966,31.613,118.2713
140.158,108.4178,31.907,118.3154
141.493,106.7766,32.201,118.3589
142.828,104.8135,32.495,118.4019
144.163,105.0548,32.788,118.4443
145.498,103.0376,33.082,118.4861
146.833,102.9885,33.376,118.5274
148.167,103.6986,33.670,118.5680
149.502,103.4498,33.964,118.6081
150.837,100.3068,34.258,118.6477
152.172,97.7715,34.552,118.6866
153.507,96.3046,34.846,118.7250
154.842,95.0926,35.140,118.7628
156.176,95.3736,35.434,118.8000
157.511,95.1662,35.728,118.8367
158.846,92.9103,36.022,118.8728
160.181,91.9763,36.316,118.9083
161.516,90.9626,36.610,118.9432
162.851,89.0791,36.904,118.9775
164.186,88.3581,37.198,119.0113
165.520,87.4129,37.492,119.0445
166.855,86.6520,37.786,119.0771
168.190,85.2395,38.080,119.1091
169.525,83.4886,38.374,119.1406
170.860,81.9027,38.668,119.1714
172.195,80.7467,38.962,119.2017
173.529,80.0780,39.256,119.2314
174.864,77.9760,39.550,119.2605
176.199,77.2775,39.843,119.2890
177.534,77.2783,40.137,119.3170
178.869,76.7430,40.431,119.3443
180.204,75.9061,40.725,119.3711
181.538,75.0247,41.019,119.3973
182.873,73.3465,41.313,119.4229
184.208,71.4919,41.607,119.4479
185.543,70.3975,41.901,119.4723
186.878,69.6785,42.195,119.4961
188.213,69.3066,42.489,119.5194
189.548,68.8777,42.783,119.5421
190.882,67.6446,43.077,119.5641
192.217,65.9994,43.371,119.5856
193.552,64.9750,43.665,119.6065
194.887,63.9552,43.959,119.6268
196.222,63.2349,44.253,119.6465
197.557,62.9088,44.547,119.6656
198.891,61.8657,44.841,119.6842
200.226,61.3647,45.135,119.7021
201.561,60.5955,45.429,119.7195
202.896,59.5702,45.723,119.7362
204.231,59.1034,46.017,119.7524
205.566,58.5331,46.311,119.7680
206.900,57.6478,46.605,119.7829
208.235,56.2058,46.899,119.7973
209.570,55.1591,47.192,119.8111
210.905,54.9080,47.486,119.8243
212.240,54.6047,47.780,119.8369
213.575,53.6078,48.074,119.8490
214.910,53.2442,48.368,119.8604
216.244,52.6162,48.662,119.8712
217.579,51.6687,48.956,119.8814
218.914,51.5174,49.250,119.8911
220.249,50.9628,49.544,119.9001
221.584,50.5610,49.838,119.9086
222.919,50.1537,50.132,119.9164
224.253,50.0357,50.426,119.9237
225.588,49.5364,50.720,119.9303
226.923,48.8234,51.014,119.9364
228.258,48.4893,51.308,119.9419
229.593,47.9775,51.602,119.9468
230.928,47.6512,51.896,119.9510
232.262,46.8430,52.190,119.9547
233.597,46.4363,52.484,119.9578
234.932,45.9044,52.778,119.9603
236.267,45.8596,53.072,119.9622
237.602,45.6101,53.366,119.9635
238.937,45.2177,53.660,119.9642
240.271,45.1011,53.954,119.9643
241.606,44.4907,54.247,119.9639
242.941,43.9829,54.541,119.9628
244.276,43.6617,54.835,119.9611
245.611,43.4569,55.129,119.9588
246.946,42.9025,55.423,119.9560
248.281,42.7708,55.717,119.9525
249.615,42.3027,56.011,119.9485
250.950,42.0873,56.305,119.9438
252.285,41.8102,56.599,119.9386
253.620,41.4344,56.893,119.9327
254.955,41.1634,57.187,119.9263
256.290,40.8615,57.481,119.9193
257.624,40.4336,57.775,119.9116
258.959,40.3074,58.069,119.9034
260.294,40.1368,58.363,119.8946
261.629,39.9506,58.657,119.8852
262.964,39.6197,58.951,119.8752
264.299,39.3399,59.245,119.8646
265.633,39.1170,59.539,119.8534
266.968,39.0547,59.833,119.8416
268.303,38.6026,60.127,119.8292
269.638,38.4992,60.421,119.8162
270.973,38.2232,60.715,119.8026
272.308,37.9379,61.009,119.7885
273.643,37.5758,61.303,119.7737
274.977,37.4556,61.596,119.7584
276.312,37.2243,61.890,119.7424
277.647,37.1096,62.184,119.7259
278.982,37.0415,62.478,119.7088
280.317,36.9572,62.772,119.6911
281.652,36.8864,63.066,119.6728
282.986,36.8048,63.360,119.6539
284.321,36.6601,63.654,119.6344
285.656,36.3048,63.948,119.6143
286.991,36.1738,64.242,119.5936
288.326,35.6471,64.536,119.5724
289.661,35.7097,64.830,119.5505
290.995,35.6002,65.124,119.5281
292.330,35.6019,65.418,119.5051
293.665,35.8238,65.712,119.4814
295.000,36.7233,66.006,119.4572
"","",66.300,119.4324
"","",66.594,119.4071
"","",66.888,119.3811
"","",67.182,119.3546
"","",67.476,119.3274
"","",67.770,119.2997
"","",68.064,119.2714
"","",68.358,119.2425
"","",68.651,119.2131
"","",68.945,119.1830
"","",69.239,119.1524
"","",69.533,119.1211
"","",69.827,119.0893
"","",70.121,119.0570
"","",70.415,119.0240
"","",70.709,118.9904
"","",71.003,118.9563
"","",71.297,118.9216
"","",71.591,118.8863
"","",71.885,118.8505
"","",72.179,118.8140
"","",72.473,118.7770
"","",72.767,118.7394
"","",73.061,118.7013
"","",73.355,118.6625
"","",73.649,118.6232
"","",73.943,118.5834
"","",74.237,118.5429
"","",74.531,118.5019
"","",74.825,118.4603
"","",75.119,118.4181
"","",75.413,118.3753
"","",75.706,118.3320
"","",76.000,118.2881
"","",76.294,118.2437
"","",76.588,118.1987
"","",76.882,118.1531
"","",77.176,118.1070
"","",77.470,118.0602
"","",77.764,118.0130
"","",78.058,117.9651
"","",78.352,117.9167
"","",78.646,117.8678
"","",78.940,117.8182
"","",79.234,117.7681
"","",79.528,117.7175
"","",79.822,117.6663
"","",80.116,117.6145
"","",80.410,117.5622
"","",80.704,117.5093
"","",80.998,117.4559
"","",81.292,117.4019
"","",81.586,117.3474
"","",81.880,117.2923
"","",82.174,117.2366
"","",82.468,117.1805
"","",82.762,117.1237
"","",83.055,117.0664
"","",83.349,117.0086
"","",83.643,116.9502
"","",83.937,116.8913
"","",84.231,116.8318
"","",84.525,116.7718
"","",84.819,116.7112
"","",85.113,116.6501
"","",85.407,116.5885
"","",85.701,116.5263
"","",85.995,116.4636
"","",86.289,116.4003
"","",86.583,116.3365
"","",86.877,116.2721
"","",87.171,116.2073
"","",87.465,116.1419
"","",87.759,116.0759
"","",88.053,116.0095
"","",88.347,115.9425
"","",88.641,115.8749
"","",88.935,115.8069
"","",89.229,115.7383
"","",89.523,115.6692
"","",89.817,115.5995
"","",90.110,115.5294
"","",90.404,115.4587
"","",90.698,115.3875
"","",90.992,115.3158
"","",91.286,115.2435
"","",91.580,115.1708
"","",91.874,115.0975
"","",92.168,115.0237
"","",92.462,114.9494
"","",92.756,114.8746
"","",93.050,114.7992
"","",93.344,114.7234
"","",93.638,114.6470
"","",93.932,114.5702
"","",94.226,114.4928
"","",94.520,114.4149
"","",94.814,114.3365
"","",95.108,114.2577
"","",95.402,114.1783
"","",95.696,114.0984
"","",95.990,114.0180
"","",96.284,113.9371
"","",96.578,113.8557
"","",96.872,113.7738
"","",97.166,113.6915
"","",97.459,113.6086
"","",97.753,113.5252
"","",98.047,113.4414
"","",98.341,113.3570
"","",98.635,113.2722
"","",98.929,113.1869
"","",99.223,113.1011
"","",99.517,113.0148
"","",99.811,112.9281
"","",100.105,112.8408
"","",100.399,112.7531
"","",100.693,112.6649
"","",100.987,112.5762
"","",101.281,112.4871
"","",101.575,112.3974
"","",101.869,112.3073
"","",102.163,112.2168
"","",102.457,112.1257
"","",102.751,112.0342
"","",103.045,111.9422
"","",103.339,111.8498
"","",103.633,111.7569
"","",103.927,111.6635
"","",104.221,111.5697
"","",104.514,111.4754
"","",104.808,111.3806
"","",105.102,111.2854
"","",105.396,111.1898
"","",105.690,111.0937
"","",105.984,110.9971
"","",106.278,110.9001
"","",106.572,110.8026
"","",106.866,110.7047
"","",107.160,110.6064
"","",107.454,110.5076
"","",107.748,110.4083
"","",108.042,110.3086
"","",108.336,110.2085
"","",108.630,110.1080
"","",108.924,110.0070
"","",109.218,109.9055
"","",109.512,109.8037
"","",109.806,109.7014
"","",110.100,109.5986
"","",110.394,109.4955
"","",110.688,109.3919
"","",110.982,109.2879
"","",111.276,109.1835
"","",111.570,109.0786
"","",111.863,108.9733
"","",112.157,108.8676
"","",112.451,108.7615
"","",112.745,108.6550
"","",113.039,108.5481
"","",113.333,108.4407
"","",113.627,108.3330
"","",113.921,108.2248
"","",114.215,108.1162
"","",114.509,108.0072
"","",114.803,107.8978
"","",115.097,107.7880
"","",115.391,107.6779
"","",115.685,107.5673
"","",115.979,107.4563
"","",116.273,107.3449
"","",116.567,107.2331
"","",116.861,107.1210
"","",117.155,107.0084
"","",117.449,106.8954
"","",117.743,106.7821
"","",118.037,106.6684
"","",118.331,106.5543
"","",118.625,106.4398
"","",118.918,106.3250
"","",119.212,106.2097
"","",119.506,106.0941
"","",119.800,105.9781
"","",120.094,105.8617
"","",120.388,105.7450
"","",120.682,105.6279
"","",120.976,105.5104
"","",121.270,105.3926
"","",121.564,105.2744
"","",121.858,105.1558
"","",122.152,105.0369
"","",122.446,104.9176
"","",122.740,104.7980
"","",123.034,104.6780
"","",123.328,104.5576
"","",123.622,104.4369
"","",123.916,104.3158
"","",124.210,104.1945
"","",124.504,104.0727
"","",124.798,103.9506
"","",125.092,103.8282
"","",125.386,103.7054
"","",125.680,103.5823
"","",125.974,103.4588
"","",126.267,103.3351
"","",126.561,103.2109
"","",126.855,103.0865
"","",127.149,102.9617
"","",127.443,102.8366
"","",127.737,102.7112
"","",128.031,102.5854
"","",128.325,102.4593
"","",128.619,102.3329
"","",128.913,102.2062
"","",129.207,102.0792
"","",129.501,101.9518
"","",129.795,101.8242
"","",130.089,101.6962
"","",130.383,101.5679
"","",130.677,101.4393
"","",130.971,101.3104
"","",131.265,101.1812
"","",131.559,101.0517
"","",131.853,100.9219
"","",132.147,100.7918
"","",132.441,100.6614
"","",132.735,100.5307
"","",133.029,100.3998
"","",133.322,100.2685
"","",133.616,100.1369
"","",133.910,100.0051
"","",134.204,99.8730
"","",134.498,99.7405
"","",134.792,99.6078
"","",135.086,99.4749
"","",135.380,99.3416
"","",135.674,99.2081
"","",135.968,99.0743
"","",136.262,98.9402
"","",136.556,98.8059
"","",136.850,98.6713
"","",137.144,98.5364
"","",137.438,98.4013
"","",137.732,98.2659
"","",138.026,98.1302
"","",138.320,97.9943
"","",138.614,97.8581
"","",138.908,97.7217
"","",139.202,97.5850
"","",139.496,97.4481
"","",139.790,97.3109
"","",140.084,97.1735
"","",140.378,97.0358
"","",140.671,96.8979
"","",140.965,96.7598
"","",141.259,96.6214
"","",141.553,96.4827
"","",141.847,96.3439
"","",142.141,96.2048
"","",142.435,96.0655
"","",142.729,95.9259
"","",143.023,95.7861
"","",143.317,95.6461
"","",143.611,95.5059
"","",143.905,95.3654
"","",144.199,95.2248
"","",144.493,95.0839
"","",144.787,94.9428
"","",145.081,94.8015
"","",145.375,94.6599
"","",145.669,94.5182
"","",145.963,94.3763
"","",146.257,94.2341
"","",146.551,94.0917
"","",146.845,93.9492
"","",147.139,93.8064
"","",147.433,93.6635
"","",147.726,93.5203
"","",148.020,93.3770
"","",148.314,93.2334
"","",148.608,93.0897
"","",148.902,92.9458
"","",149.196,92.8017
"","",149.490,92.6574
"","",149.784,92.5129
"","",150.078,92.3683
"","",150.372,92.2235
"","",150.666,92.0785
"","",150.960,91.9333
"","",151.254,91.7879
"","",151.548,91.6424
"","",151.842,91.4967
"","",152.136,91.3509
"","",152.430,91.2048
"","",152.724,91.0587
"","",153.018,90.9123
"","",153.312,90.7658
"","",153.606,90.6191
"","",153.900,90.4723
"","",154.194,90.3253
"","",154.488,90.1782
"","",154.781,90.0310
"","",155.075,89.8835
"","",155.369,89.7360
"","",155.663,89.5882
"","",155.957,89.4404
"","",156.251,89.2924
"","",156.545,89.1443
"","",156.839,88.9960
"","",157.133,88.8476
"","",157.427,88.6991
"","",157.721,88.5504
"","",158.015,88.4016
"","",158.309,88.2527
"","",158.603,88.1036
"","",158.897,87.9545
"","",159.191,87.8052
"","",159.485,87.6558
"","",159.779,87.5063
"","",160.073,87.3566
"","",160.367,87.2069
"","",160.661,87.0570
"","",160.955,86.9070
"","",161.249,86.7569
"","",161.543,86.6068
"","",161.837,86.4565
"","",162.130,86.3061
"","",162.424,86.1556
"","",162.718,86.0050
"","",163.012,85.8543
"","",163.306,85.7035
"","",163.600,85.5526
"","",163.894,85.4017
"","",164.188,85.2506
"","",164.482,85.0995
"","",164.776,84.9482
"","",165.070,84.7969
"","",165.364,84.6455
"","",165.658,84.4941
"","",165.952,84.3425
"","",166.246,84.1909
"","",166.540,84.0392
"","",166.834,83.8874
"","",167.128,83.7356
"","",167.422,83.5837
"","",167.716,83.4317
"","",168.010,83.2797
"","",168.304,83.1276
"","",168.598,82.9754
"","",168.892,82.8232
"","",169.186,82.6709
"","",169.479,82.5185
"","",169.773,82.3661
"","",170.067,82.2137
"","",170.361,82.0612
"","",170.655,81.9087
"","",170.949,81.7561
"","",171.243,81.6034
"","",171.537,81.4508
"","",171.831,81.2980
"","",172.125,81.1453
"","",172.419,80.9925
"","",172.713,80.8397
"","",173.007,80.6868
"","",173.301,80.5339
"","",173.595,80.3810
"","",173.889,80.2280
"","",174.183,80.0750
"","",174.477,79.9220
"","",174.771,79.7690
"","",175.065,79.6159
"","",175.359,79.4628
"","",175.653,79.3097
"","",175.947,79.1566
"","",176.241,79.0035
"","",176.534,78.8504
"","",176.828,78.6972
"","",177.122,78.5441
"","",177.416,78.3909
"","",177.710,78.2377
"","",178.004,78.0845
"","",178.298,77.9314
"","",178.592,77.7782
"","",178.886,77.6250
"","",179.180,77.4718
"","",179.474,77.3186
"","",179.768,77.1655
"","",180.062,77.0123
"","",180.356,76.8592
"","",180.650,76.7060
"","",180.944,76.5529
"","",181.238,76.3998
"","",181.532,76.2467
"","",181.826,76.0936
"","",182.120,75.9405
"","",182.414,75.7875
"","",182.708,75.6345
"","",183.002,75.4815
"","",183.296,75.3285
"","",183.589,75.1756
"","",183.883,75.0227
"","",184.177,74.8698
"","",184.471,74.7169
"","",184.765,74.5641
"","",185.059,74.4113
"","",185.353,74.2586
"","",185.647,74.1059
"","",185.941,73.9532
"","",186.235,73.8006
"","",186.529,73.6480
"","",186.823,73.4955
"","",187.117,73.3430
"","",187.411,73.1906
"","",187.705,73.0382
"","",187.999,72.8858
"","",188.293,72.7335
"","",188.587,72.5813
"","",188.881,72.4291
"","",189.175,72.2770
"","",189.469,72.1250
"","",189.763,71.9730
"","",190.057,71.8210
"","",190.351,71.6692
"","",190.645,71.5174
"","",190.938,71.3656
"","",191.232,71.2139
"","",191.526,71.0623
"","",191.820,70.9108
"","",192.114,70.7594
"","",192.408,70.6080
"","",192.702,70.4567
"","",192.996,70.3055
"","",193.290,70.1543
"","",193.584,70.0032
"","",193.878,69.8522
"","",194.172,69.7013
"","",194.466,69.5505
"","",194.760,69.3998
"","",195.054,69.2491
"","",195.348,69.0986
"","",195.642,68.9481
"","",195.936,68.7977
"","",196.230,68.6475
"","",196.524,68.4973
"","",196.818,68.3472
"","",197.112,68.1972
"","",197.406,68.0473
"","",197.700,67.8975
"","",197.993,67.7478
"","",198.287,67.5982
"","",198.581,67.4487
"","",198.875,67.2993
"","",199.169,67.1501
"","",199.463,67.0009
"","",199.757,66.8519
"","",200.051,66.7029
"","",200.345,66.5541
"","",200.639,66.4054
"","",200.933,66.2568
"","",201.227,66.1083
"","",201.521,65.9599
"","",201.815,65.8117
"","",202.109,65.6636
"","",202.403,65.5155
"","",202.697,65.3677
"","",202.991,65.2199
"","",203.285,65.0723
"","",203.579,64.9248
"","",203.873,64.7774
"","",204.167,64.6302
"","",204.461,64.4830
"","",204.755,64.3361
"","",205.049,64.1892
"","",205.342,64.0425
"","",205.636,63.8959
"","",205.930,63.7495
"","",206.224,63.6032
"","",206.518,63.4570
"","",206.812,63.3110
"","",207.106,63.1651
"","",207.400,63.0194
"","",207.694,62.8738
"","",207.988,62.7283
"","",208.282,62.5830
"","",208.576,62.4379
"","",208.870,62.2929
"","",209.164,62.1480
"","",209.458,62.0033
"","",209.752,61.8588
"","",210.046,61.7144
"","",210.340,61.5702
"","",210.634,61.4261
"","",210.928,61.2822
"","",211.222,61.1384
"","",211.516,60.9948
"","",211.810,60.8513
"","",212.104,60.7081
"","",212.397,60.5649
"","",212.691,60.4220
"","",212.985,60.2792
"","",213.279,60.1366
"","",213.573,59.9941
"","",213.867,59.8518
"","",214.161,59.7097
"","",214.455,59.5677
"","",214.749,59.4260
"","",215.043,59.2844
"","",215.337,59.1429
"","",215.631,59.0017
"","",215.925,58.8606
"","",216.219,58.7197
"","",216.513,58.5790
"","",216.807,58.4384
"","",217.101,58.2980
"","",217.395,58.1579
"","",217.689,58.0179
"","",217.983,57.8780
"","",218.277,57.7384
"","",218.571,57.5989
"","",218.865,57.4597
"","",219.159,57.3206
"","",219.452,57.1817
"","",219.746,57.0430
"","",220.040,56.9045
"","",220.334,56.7662
"","",220.628,56.6280
"","",220.922,56.4901
"","",221.216,56.3523
"","",221.510,56.2148
"","",221.804,56.0774
"","",222.098,55.9403
"","",222.392,55.8033
"","",222.686,55.6665
"","",222.980,55.5300
"","",223.274,55.3936
"","",223.568,55.2574
"","",223.862,55.1215
"","",224.156,54.9857
"","",224.450,54.8501
"","",224.744,54.7148
"","",225.038,54.5796
"","",225.332,54.4447
"","",225.626,54.3100
"","",225.920,54.1754
"","",226.214,54.0411
"","",226.508,53.9070
"","",226.801,53.7731
"","",227.095,53.6394
"","",227.389,53.5059
"","",227.683,53.3726
"","",227.977,53.2396
"","",228.271,53.1067
"","",228.565,52.9741
"","",228.859,52.8417
"","",229.153,52.7095
"","",229.447,52.5775
"","",229.741,52.4457
"","",230.035,52.3142
"","",230.329,52.1829
"","",230.623,52.0518
"","",230.917,51.9209
"","",231.211,51.7902
"","",231.505,51.6598
"","",231.799,51.5295
"","",232.093,51.3996
"","",232.387,51.2698
"","",232.681,51.1402
"","",232.975,51.0109
"","",233.269,50.8818
"","",233.563,50.7529
"","",233.857,50.6243
"","",234.150,50.4959
"","",234.444,50.3677
"","",234.738,50.2397
"","",235.032,50.1120
"","",235.326,49.9845
"","",235.620,49.8573
"","",235.914,49.7302
"","",236.208,49.6034
"","",236.502,49.4768
"","",236.796,49.3505
"","",237.090,49.2244
"","",237.384,49.0985
"","",237.678,48.9729
"","",237.972,48.8475
"","",238.266,48.7224
"","",238.560,48.5975
"","",238.854,48.4728
"","",239.148,48.3483
"","",239.442,48.2241
"","",239.736,48.1002
"","",240.030,47.9764
"","",240.324,47.8529
"","",240.618,47.7297
"","",240.912,47.6067
"","",241.205,47.4839
"","",241.499,47.3614
"","",241.793,47.2391
"","",242.087,47.1171
"","",242.381,46.9953
"","",242.675,46.8738
"","",242.969,46.7525
"","",243.263,46.6314
"","",243.557,46.5106
"","",243.851,46.3901
"","",244.145,46.2698
"","",244.439,46.1497
"","",244.733,46.0299
"","",245.027,45.9103
"","",245.321,45.7910
"","",245.615,45.6719
"","",245.909,45.5531
"","",246.203,45.4345
"","",246.497,45.3162
"","",246.791,45.1981
"","",247.085,45.0803
"","",247.379,44.9627
"","",247.673,44.8454
"","",247.967,44.7283
"","",248.260,44.6115
"","",248.554,44.4950
"","",248.848,44.3787
"","",249.142,44.2626
"","",249.436,44.1468
"","",249.730,44.0313
"","",250.024,43.9160
"","",250.318,43.8009
"","",250.612,43.6862
"","",250.906,43.5716
"","",251.200,43.4574
"","",251.494,43.3433
"","",251.788,43.2296
"","",252.082,43.1161
"","",252.376,43.0029
"","",252.670,42.8899
"","",252.964,42.7771
"","",253.258,42.6647
"","",253.552,42.5525
"","",253.846,42.4405
"","",254.140,42.3288
"","",254.434,42.2174
"","",254.728,42.1062
"","",255.022,41.9953
"","",255.316,41.8847
"","",255.609,41.7743
"","",255.903,41.6641
"","",256.197,41.5543
"","",256.491,41.4447
"","",256.785,41.3353
"","",257.079,41.2262
"","",257.373,41.1174
"","",257.667,41.0088
"","",257.961,40.9005
"","",258.255,40.7925
"","",258.549,40.6847
"","",258.843,40.5772
"","",259.137,40.4699
"","",259.431,40.3629
"","",259.725,40.2562
"","",260.019,40.1498
"","",260.313,40.0436
"","",260.607,39.9376
"","",260.901,39.8319
"","",261.195,39.7265
"","",261.489,39.6214
"","",261.783,39.5165
"","",262.077,39.4119
"","",262.371,39.3075
"","",262.664,39.2035
"","",262.958,39.0996
"","",263.252,38.9961
"","",263.546,38.8928
"","",263.840,38.7897
"","",264.134,38.6870
"","",264.428,38.5845
"","",264.722,38.4822
"","",265.016,38.3803
"","",265.310,38.2786
"","",265.604,38.1771
"","",265.898,38.0760
"","",266.192,37.9750
"","",266.486,37.8744
"","",266.780,37.7740
"","",267.074,37.6739
"","",267.368,37.5741
"","",267.662,37.4745
"","",267.956,37.3752
"","",268.250,37.2761
"","",268.544,37.1774
"","",268.838,37.0788
"","",269.132,36.9806
"","",269.426,36.8826
"","",269.720,36.7849
"","",270.013,36.6874
"","",270.307,36.5902
"","",270.601,36.4933
"","",270.895,36.3967
"","",271.189,36.3003
"","",271.483,36.2042
"","",271.777,36.1083
"","",272.071,36.0127
"","",272.365,35.9174
"","",272.659,35.8223
"","",272.953,35.7275
"","",273.247,35.6330
"","",273.541,35.5387
"","",273.835,35.4447
"","",274.129,35.3510
"","",274.423,35.2575
"","",274.717,35.1643
"","",275.011,35.0714
"","",275.305,34.9787
"","",275.599,34.8863
"","",275.893,34.7942
"","",276.187,34.7023
"","",276.481,34.6107
"","",276.775,34.5193
"","",277.068,34.4283
"","",277.362,34.3374
"","",277.656,34.2469
"","",277.950,34.1566
"","",278.244,34.0666
"","",278.538,33.9768
"","",278.832,33.8873
"","",279.126,33.7981
"","",279.420,33.7091
"","",279.714,33.6204
"","",280.008,33.5320
"","",280.302,33.4438
"","",280.596,33.3559
"","",280.890,33.2682
"","",281.184,33.1808
"","",281.478,33.0937
"","",281.772,33.0068
"","",282.066,32.9202
"","",282.360,32.8339
"","",282.654,32.7478
"","",282.948,32.6620
"","",283.242,32.5764
"","",283.536,32.4911
"","",283.830,32.4061
"","",284.124,32.3213
"","",284.417,32.2368
"","",284.711,32.1526
"","",285.005,32.0686
"","",285.299,31.9848
"","",285.593,31.9014
"","",285.887,31.8182
"","",286.181,31.7352
"","",286.475,31.6525
"","",286.769,31.5701
"","",287.063,31.4879
"","",287.357,31.4060
"","",287.651,31.3244
"","",287.945,31.2430
"","",288.239,31.1618
"","",288.533,31.0809
"","",288.827,31.0003
"","",289.121,30.9200
"","",289.415,30.8399
"","",289.709,30.7600
"","",290.003,30.6804
"","",290.297,30.6011
"","",290.591,30.5220
"","",290.885,30.4431
"","",291.179,30.3646
"","",291.473,30.2863
"","",291.766,30.2082
"","",292.060,30.1304
"","",292.354,30.0528
"","",292.648,29.9756
"","",292.942,29.8985
"","",293.236,29.8217
"","",293.530,29.7452
"","",293.824,29.6689
"","",294.118,29.5929
"","",294.412,29.5171
"","",294.706,29.4415
"","",295.000,29.3663
