Wavelength,Intensity
155.04,2688.25
155.43,2749.88
155.82,2660.75
156.21,2633
156.6,2682.75
156.99,2742.12
157.38,2683.75
157.769,2745.5
158.159,2685.38
158.549,2787.75
158.938,2790.38
159.328,2830
159.718,2727.62
160.107,2811.75
160.497,2683.25
160.886,2730.75
161.276,2715.38
161.665,2759.5
162.054,2697.62
162.444,2759.5
162.833,2692.38
163.222,2750.38
163.611,2688.62
164.001,2747.25
164.39,2689.75
164.779,2748.75
165.168,2687.5
165.557,2743.88
165.946,2687
166.335,2733.88
166.724,2698.25
167.113,2752
167.502,2690.25
167.89,2745.12
168.279,2740.25
168.668,2744.62
169.057,2695.5
169.445,2755.25
169.834,2692.88
170.223,2749.38
170.611,2689.5
171,2748.75
171.388,2694
171.777,2742.38
172.165,2692.5
172.554,2749.38
172.942,2692.38
173.33,2754.25
173.719,2696.75
174.107,2753.62
174.495,2689.12
174.883,2754.38
175.271,2690
175.659,2744.88
176.047,2679.88
176.435,2746.62
176.823,2682.62
177.211,2771.38
177.599,2783.75
177.987,2820.88
178.375,2741.75
178.763,2753.75
179.151,2663.5
179.538,2745.12
179.926,2710.38
180.314,2754.75
180.701,2695
181.089,2749.38
181.476,2689.75
181.864,2749
182.251,2685.88
182.639,2743.38
183.026,2683.75
183.414,2734.88
183.801,2692.88
184.188,2754.25
184.576,2688.75
184.963,2739.25
185.35,2685.38
185.737,2747.38
186.124,2690.25
186.511,2765.75
186.898,2709.88
187.285,2735.88
187.672,2694.5
188.059,2734.75
188.446,2688
188.833,2745
189.22,2686.12
189.607,2739
189.993,2845.25
190.38,2915.12
190.767,2767
191.153,2925.88
191.54,2826.62
191.926,2923.88
192.313,2793.62
192.699,2895.5
193.086,2823
193.472,2867.62
193.859,2795.75
194.245,2917.88
194.631,2836.75
195.018,2926.75
195.404,2796.88
195.79,2900.38
196.176,2818.88
196.562,2953.62
196.948,2818.12
197.334,2947.5
197.72,2806.88
198.106,2929.12
198.492,2899.25
198.878,2897.75
199.264,2870
199.65,2978.12
200.036,2848.75
200.421,2987.62
200.807,2889.62
201.193,2939.62
201.578,2880.5
201.964,2938.25
202.35,2851.38
202.735,2918.38
203.121,2886.88
203.506,2970.25
203.891,2874.12
204.277,2983
204.662,2836.75
205.047,2981.75
205.433,2833.12
205.818,2945.62
206.203,2852.75
206.588,2941
206.973,2876.88
207.358,2993.75
207.743,2911.12
208.128,2929
208.513,2865.38
208.898,2935.12
209.283,2910.38
209.668,2941.88
210.053,2878.88
210.438,3008.5
210.822,2911.5
211.207,3014
211.592,2916.25
211.976,2962.75
212.361,2951.88
212.745,2967.25
213.13,2956.88
213.514,2968
213.899,2903.5
214.283,2981.38
214.668,2865.62
215.052,2931.38
215.436,2924.88
215.82,3007.25
216.205,2921
216.589,2992.5
216.973,2931.5
217.357,2947.25
217.741,2877.25
218.125,3051.62
218.509,2928.38
218.893,2946
219.277,2914.12
219.661,3002.62
220.045,2943.62
220.429,2932.12
220.812,2911.38
221.196,3010.25
221.58,2900.25
221.963,3020.38
222.347,2911.88
222.73,3035.12
223.114,2959.12
223.498,3008.5
223.881,2927.38
224.264,3054.38
224.648,2948.62
225.031,3020.38
225.414,3008.75
225.798,2999.5
226.181,2933.88
226.564,3037.88
226.947,2955.75
227.33,3027.12
227.713,2952.62
228.096,2999
228.479,2948.25
228.862,3055.38
229.245,2951.62
229.628,3006.5
230.011,2939.12
230.394,3068.88
230.777,2948.88
231.159,3044.12
231.542,2968.62
231.925,3057
232.307,2947.75
232.69,3033.75
233.072,2978.75
233.455,3036.5
233.837,2964.38
234.22,3072.5
234.602,2940.88
234.985,3070.38
235.367,2988.38
235.749,3091.75
236.131,2947.12
236.514,3091.12
236.896,2971.88
237.278,3090.25
237.66,3028.88
238.042,3079
238.424,2969.62
238.806,3112.75
239.188,2991.12
239.57,3027.38
239.952,2977.25
240.334,3067.75
240.715,3028.25
241.097,3121.5
241.479,2990.38
241.86,3091.25
242.242,3022.38
242.624,3038
243.005,3012.38
243.387,3168.62
243.768,2989.88
244.15,3073.75
244.531,3018.25
244.912,3106.12
245.294,3096.62
245.675,3074.62
246.056,3095.62
246.437,3159.62
246.819,3042
247.2,3064
247.581,3047.88
247.962,3191
248.343,3041.75
248.724,3115.25
249.105,3096
249.486,3122.75
249.866,3097
250.247,3139.12
250.628,3090.75
251.009,3143.62
251.389,3062.25
251.77,3163.62
252.151,3081.12
252.531,3160.12
252.912,3086.88
253.292,3127.88
253.673,3062.25
254.053,3127.38
254.434,3046.38
254.814,3179.62
255.194,3077.5
255.575,3082.62
255.955,3002.12
256.335,3207.88
256.715,3060
257.095,3134.5
257.475,3071.5
257.855,3149.88
258.235,3116.88
258.615,3146.88
258.995,3115.75
259.375,3132.88
259.755,3087.5
260.135,3156.5
260.515,3107.88
260.894,3179.75
261.274,3105.75
261.654,3235.75
262.033,3140.75
262.413,3256
262.792,3092.25
263.172,3226.25
263.551,3106
263.931,3181.88
264.31,3112.88
264.689,3161
265.069,3137.25
265.448,3154.12
265.827,3138.25
266.206,3241.5
266.586,3169.12
266.965,3221.38
267.344,3121.25
267.723,3208.62
268.102,3136.75
268.481,3164.38
268.86,3145.75
269.238,3203.88
269.617,3169.62
269.996,3219.12
270.375,3144
270.754,3251.88
271.132,3127.12
271.511,3243.38
271.889,3204.38
272.268,3210.75
272.646,3180.88
273.025,3249.12
273.403,3203.88
273.782,3216.62
274.16,3236.38
274.538,3262.38
274.917,3144
275.295,3265.25
275.673,3154.12
276.051,3258.38
276.429,3214.88
276.808,3262.38
277.186,3186.88
277.564,3252.12
277.942,3229.88
278.319,3277
278.697,3210.12
279.075,3292.5
279.453,3247.5
279.831,3277
280.208,3205
280.586,3292.38
280.964,3228.38
281.341,3306.12
281.719,3233
282.097,3301.38
282.474,3226.75
282.851,3276.12
283.229,3278.88
283.606,3271.5
283.984,3289.62
284.361,3247.5
284.738,3275.75
285.115,3314
285.492,3216.75
285.87,3365.88
286.247,3256.62
286.624,3297.5
287.001,3259.62
287.378,3339.38
287.755,3281.62
288.132,3330.75
288.508,3280.75
288.885,3454.12
289.262,3296
289.639,3340.38
290.015,3283.62
290.392,3348.88
290.769,3285.38
291.145,3346.25
291.522,3340.88
291.898,3361.62
292.275,3315.25
292.651,3384.62
293.028,3278.88
293.404,3343.38
293.78,3323.25
294.156,3371.25
294.533,3368
294.909,3385.12
295.285,3341.62
295.661,3413.38
296.037,3321.62
296.413,3374.38
296.789,3352.5
297.165,3389.5
297.541,3300.38
297.917,3365.5
298.293,3362.12
298.668,3414
299.044,3356.38
299.42,3438.25
299.795,3384
300.171,3421.12
300.547,3400.88
300.922,3448.62
301.298,3364.25
301.673,3418.62
302.049,3405.75
302.424,3461.88
302.799,3389.88
303.175,3387.62
303.55,3399
303.925,3526.62
304.3,3370.12
304.675,3432.12
305.05,3353.25
305.425,3457.5
305.8,3444.75
306.175,3458.75
306.55,3384.38
306.925,3471
307.3,3421.38
307.675,3487.5
308.05,3426
308.424,3507
308.799,3427.38
309.174,3458
309.548,3429.38
309.923,3511.12
310.297,3397.88
310.672,3469
311.046,3437.88
311.421,3465.38
311.795,3426.12
312.169,3481.62
312.544,3392
312.918,3486.38
313.292,3439
313.666,3573.25
314.04,3450.12
314.414,3499.62
314.789,3467.75
315.163,3520.75
315.536,3435.12
315.91,3521.5
316.284,3430.88
316.658,3558.38
317.032,3498.12
317.406,3523.12
317.779,3473.12
318.153,3530.75
318.527,3504
318.9,3505.62
319.274,3488.5
319.647,3586.75
320.021,3494.5
320.394,3520.5
320.768,3509.25
321.141,3557.88
321.514,3487.62
321.888,3530.75
322.261,3464.62
322.634,3542.75
323.007,3504.62
323.38,3585.62
323.753,3473.62
324.126,3566.88
324.499,3500.88
324.872,3557.5
325.245,3525.88
325.618,3533.88
325.991,3528.88
326.364,3553.12
326.736,3518.38
327.109,3601.62
327.482,3542
327.854,3549.5
328.227,3525.88
328.599,3609
328.972,3497.62
329.344,3571.12
329.717,3556.75
330.089,3580.88
330.461,3520
330.834,3576.5
331.206,3595.88
331.578,3568
331.95,3552
332.322,3604.88
332.694,3570.5
333.066,3633
333.438,3545.75
333.81,3641.5
334.182,3588.38
334.554,3644.88
334.926,3579.25
335.298,3636.88
335.67,3578.12
336.041,3595.25
336.413,3571.75
336.785,3631.5
337.156,3591
337.528,3621.88
337.899,3567.5
338.271,3665.12
338.642,3561.12
339.013,3670.5
339.385,3578.12
339.756,3699.75
340.127,3545.12
340.498,3691.75
340.87,3612.38
341.241,3673.62
341.612,3608
341.983,3642.88
342.354,3614
342.725,3696.5
343.096,3601.62
343.467,3671.88
343.837,3589.88
344.208,3664.62
344.579,3608.62
344.95,3676.38
345.32,3600.62
345.691,3665.25
346.062,3579.12
346.432,3636
346.803,3617.12
347.173,3642.75
347.544,3600.12
347.914,3642.75
348.284,3601
348.655,3661.62
349.025,3634.12
349.395,3713.12
349.765,3608.12
350.135,3667.25
350.505,3658.12
350.875,3670.25
351.245,3633.38
351.615,3674.88
351.985,3671.88
352.355,3699
352.725,3623
353.095,3668.38
353.465,3665
353.834,3718.88
354.204,3641
354.574,3707.12
354.943,3649.62
355.313,3734.62
355.682,3719.12
356.052,3721.62
356.421,3700.75
356.791,3709.25
357.16,3700.25
357.529,3777.5
357.898,3675.75
358.268,3692.75
358.637,3667.12
359.006,3737.12
359.375,3639.5
359.744,3721.25
360.113,3659.88
360.482,3755.12
360.851,3676.25
361.22,3740.38
361.589,3685.38
361.957,3730.75
362.326,3716.25
362.695,3722.88
363.064,3721.62
363.432,3725.5
363.801,3649.12
364.169,3758.62
364.538,3691.25
364.906,3728.25
365.275,3685.38
365.643,3727
366.011,3687.88
366.38,3739.12
366.748,3703
367.116,3772.38
367.484,3698.12
367.852,3764.88
368.22,3708.75
368.588,3752.12
368.956,3712.62
369.324,3767.62
369.692,3687.5
370.06,3774.38
370.428,3682.25
370.796,3787.88
371.163,3701.38
371.531,3782.25
371.899,3735.62
372.266,3769.62
372.634,3718.38
373.001,3756.25
373.369,3720.75
373.736,3772.38
374.104,3738
374.471,3781.88
374.838,3742.25
375.206,3780.75
375.573,3754.25
375.94,3780.38
376.307,3706.5
376.674,3769.62
377.041,3726
377.408,3777.75
377.775,3721.88
378.142,3826.88
378.509,3723.75
378.876,3776.12
379.243,3726.38
379.61,3767.88
379.976,3730.75
380.343,3785
380.71,3741
381.076,3798
381.443,3806.88
381.809,3771.88
382.176,3733.88
382.542,3784.75
382.909,3712.38
383.275,3795.75
383.641,3728.5
384.007,3805.75
384.374,3768
384.74,3812.88
385.106,3740.88
385.472,3766.38
385.838,3712.25
386.204,3827.25
386.57,3735
386.936,3792.12
387.302,3737.62
387.668,3838.38
388.033,3722.12
388.399,3792.62
388.765,3770.25
389.13,3880.5
389.496,3726.38
389.862,3858.12
390.227,3724.38
390.593,3820.25
390.958,3755.75
391.323,3797.75
391.689,3739.12
392.054,3811
392.419,3759.38
392.784,3837.75
393.15,3741.88
393.515,3851
393.88,3759.38
394.245,3819.75
394.61,3741.38
394.975,3785.62
395.34,3735.12
395.705,3809
396.069,3766.38
396.434,3834.88
396.799,3777.5
397.164,3822
397.528,3777.62
397.893,3785.75
398.258,3758.75
398.622,3809.12
398.987,3782.38
399.351,3829.38
399.715,3741.5
400.08,3827.25
400.444,3793.5
400.808,3843.5
401.173,3761.12
401.537,3815.75
401.901,3765.38
402.265,3809
402.629,3740.75
402.993,3831.88
403.357,3771.25
403.721,3828.88
404.085,3728.12
404.449,3836.25
404.812,3773.88
405.176,3842.25
405.54,3769.62
405.904,3875.25
406.267,3767.5
406.631,3825.62
406.994,3768
407.358,3815.62
407.721,3768.12
408.085,3843.12
408.448,3765.75
408.811,3857.12
409.175,3761
409.538,3832.12
409.901,3798.75
410.264,3844.25
410.627,3794.25
410.99,3831.12
411.353,3773
411.716,3849.12
412.079,3789.75
412.442,3843.25
412.805,3768
413.168,3816.5
413.53,3769
413.893,3862.5
414.256,3780.75
414.618,3846.88
414.981,3766
415.343,3831.75
415.706,3775.38
416.068,3840
416.431,3801.75
416.793,3854.38
417.155,3759.62
417.518,3836.88
417.88,3749.88
418.242,3848.12
418.604,3790
418.966,3867.75
419.328,3763.88
419.69,3844.25
420.052,3759.62
420.414,3822.38
420.776,3753.12
421.138,3846.25
421.5,3761.12
421.861,3839
422.223,3770.12
422.585,3880
422.946,3774.5
423.308,3824.62
423.669,3773.75
424.031,3865.75
424.392,3748.25
424.754,3842.75
425.115,3780.25
425.476,3838.12
425.838,3789.5
426.199,3829.38
426.56,3774.38
426.921,3890.75
427.282,3780.25
427.643,3835
428.004,3761.12
428.365,3838.5
428.726,3792
429.087,3839.38
429.448,3747.75
429.809,3824.62
430.169,3797.88
430.53,3837.25
430.891,3779.88
431.251,3845.88
431.612,3798.38
431.972,3832.12
432.333,3795.25
432.693,3844.25
433.054,3803.25
433.414,3869.38
433.774,3808.75
434.134,3833.75
434.495,3768.12
434.855,3867.75
435.215,3801
435.575,3863.75
435.935,3796.38
436.295,3856.38
436.655,3760
437.015,3839.12
437.375,3758.62
437.734,3871
438.094,3770.62
438.454,3849.62
438.813,3789.88
439.173,3845.88
439.533,3784
439.892,3868.25
440.252,3770.38
440.611,3870.88
440.97,3793.75
441.33,3853.5
441.689,3802.38
442.048,3865.75
442.408,3790.5
442.767,3886.5
443.126,3829.75
443.485,3868.38
443.844,3771.62
444.203,3891.88
444.562,3820.62
444.921,3871.5
445.28,3819.88
445.639,3867.38
445.997,3805.5
446.356,3891.75
446.715,3852
447.073,3900.38
447.432,3799.5
447.791,3898.75
448.149,3804.75
448.507,3884.25
448.866,3802.75
449.224,3906.75
449.583,3826.75
449.941,3922.25
450.299,3848.75
450.657,3905.12
451.015,3853
451.374,3907.88
451.732,3860.12
452.09,3898.88
452.448,3853.75
452.805,3933.88
453.163,3855
453.521,3921.12
453.879,3844.75
454.237,3927.38
454.594,3846
454.952,3934.5
455.31,3867.25
455.667,3928.25
456.025,3847
456.382,3938.75
456.74,3860
457.097,3925.38
457.454,3848.12
457.812,3909.38
458.169,3863.88
458.526,3983.25
458.883,3860.38
459.24,3912.5
459.597,3801.12
459.954,3894.5
460.311,3852.25
460.668,3857.62
461.025,3817.62
461.382,3923.75
461.739,3838.62
462.096,3889.12
462.452,3818.75
462.809,3895.5
463.166,3831.5
463.522,3877.75
463.879,3773.25
464.235,3873.12
464.592,3789.25
464.948,3893.75
465.304,3814.75
465.661,3861.88
466.017,3799
466.373,3858.5
466.729,3817.62
467.085,3864.12
467.441,3794.75
467.797,3862.5
468.153,3773.75
468.509,3856.12
468.865,3827.25
469.221,3857
469.577,3812.75
469.933,3858.75
470.288,3799.88
470.644,3859.88
471,3800
471.355,3883.25
471.711,3785.62
472.066,3860.75
472.422,3790.38
472.777,3861.88
473.132,3773
473.488,3856
473.843,3778.25
474.198,3859.88
474.553,3767.38
474.908,3862.5
475.263,3783.62
475.618,3833.12
475.973,3789.25
476.328,3818.25
476.683,3808.12
477.038,3831.88
477.393,3755.25
477.748,3816.12
478.102,3757.88
478.457,3828.25
478.812,3771.25
479.166,3828.88
479.521,3763.62
479.875,3847.25
480.23,3757.75
480.584,3820.25
480.938,3780.25
481.293,3835.75
481.647,3760.25
482.001,3817
482.355,3741
482.709,3812.88
483.063,3751.12
483.417,3815.38
483.771,3763.38
484.125,3843.75
484.479,3752
484.833,3831.5
485.187,3747.75
485.54,3812.88
485.894,3765.12
486.248,3857.25
486.601,3752.62
486.955,3832
487.308,3760
487.662,3843.12
488.015,3775.62
488.369,3824.5
488.722,3751
489.075,3847
489.429,3744
489.782,3802.12
490.135,3734.5
490.488,3827.62
490.841,3784.12
491.194,3846.12
491.547,3768.38
491.9,3820.75
492.253,3762.12
492.606,3838.12
492.958,3757.25
493.311,3835.25
493.664,3778.12
494.016,3821.88
494.369,3789.38
494.722,3848.62
495.074,3801.5
495.426,3850
495.779,3775
496.131,3835.38
496.484,3703
496.836,3838
497.188,3752.62
497.54,3829.88
497.892,3739.12
498.244,3847.12
498.596,3756.88
498.948,3837.75
499.3,3740.25
499.652,3853.38
500.004,3792.75
500.356,3821.88
500.708,3769
501.059,3825
501.411,3776.75
501.763,3859.88
502.114,3755.25
502.466,3862.5
502.817,3766.38
503.169,3833.62
503.52,3787.25
503.871,3853
504.223,3749.25
504.574,3851.88
504.925,3751
505.276,3779.38
505.627,3790
505.978,3837.88
506.329,3763.12
506.68,3830.88
507.031,3665.38
507.382,3814.88
507.733,3773.5
508.084,3831.75
508.434,3785.12
508.785,3841.25
509.136,3774.25
509.486,3865.75
509.837,3771.12
510.187,3844.38
510.538,3771.25
510.888,3862.5
511.239,3776
511.589,3842.75
511.939,3790.38
512.289,3840.38
512.64,3783.75
512.99,3851.88
513.34,3759.88
513.69,3865.5
514.04,3767
514.39,3844.38
514.74,3786
515.089,3837.38
515.439,3779.5
515.789,3856.62
516.139,3760.5
516.488,3842
516.838,3789.88
517.187,3874.38
517.537,3788.62
517.886,3863
518.236,3806.25
518.585,3846.88
518.935,3776.62
519.284,3820.88
519.633,3780.5
519.982,3875.75
520.331,3774.62
520.68,3828.38
521.029,3782.75
521.378,3852.25
521.727,3786.25
522.076,3814.25
522.425,3783.38
522.774,3842.12
523.123,3768.62
523.471,3842.75
523.82,3786.75
524.169,3842.25
524.517,3774.5
524.866,3849.25
525.214,3765.38
525.563,3826.12
525.911,3797.5
526.259,3858.12
526.608,3786.25
526.956,3842
527.304,3782.88
527.652,3830.38
528,3779.75
528.348,3820.75
528.696,3763.12
529.044,3866.25
529.392,3770.62
529.74,3865
530.088,3783
530.436,3856.62
530.783,3774.38
531.131,3840.88
531.479,3797.5
531.826,3899.12
532.174,3785.12
532.521,3861.38
532.869,3800.5
533.216,3836.38
533.563,3791.88
533.911,3866.25
534.258,3791
534.605,3877.38
534.952,3812.88
535.299,3857.62
535.646,3801.62
535.993,3896.38
536.34,3785.25
536.687,3835.25
537.034,3824.62
537.381,3848.25
537.728,3810.25
538.075,3837.62
538.421,3784.88
538.768,3875.38
539.114,3795.5
539.461,3855.12
539.807,3793.5
540.154,3863.38
540.5,3797.38
540.847,3868.88
541.193,3784.12
541.539,3856.5
541.885,3811.12
542.231,3838
542.578,3814.88
542.924,3863.38
543.27,3808.5
543.616,3862.5
543.961,3788.88
544.307,3879.5
544.653,3781.25
544.999,3870.38
545.345,3799.75
545.69,3866.12
546.036,3810.12
546.381,3863.5
546.727,3778.75
547.072,3874.75
547.418,3801.5
547.763,3869.75
